# psa	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# phoible	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
# spe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1
	compact	continuant	flat	grave	nasal	strident	tense	vocalic	consonantal	anterior_sparse	continuant_phoible	distributed	dorsal	labial	sonorant	strident_phoible	voiced	coronal	anterior	back	consonantal_spe	continuant_spe	high	low	nasal_spe	strident_spe	vocalic_spe	voiced_spe
p	0	0		1	0		1	0	1		0		0	1	0		0	0	1	0	1	0	0	0	0	0	0	0
b	0	0		1	0		0	0	1		0		0	1	0		1	0	1	0	1	0	0	0	0	0	0	1
t	0	0		0	0		1	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0
d	0	0		0	0		0	0	1	1	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	1
k	1	0			0	0	1	0	1		0		1	0	0		0	0	0	1	1	0	1	0	0	0	0	0
ɡ	1	0			0	0	0	0	1		0		1	0	0		1	0	0	1	1	0	1	0	0	0	0	1
tʃ	1	0			0	1	1	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0
dʒ	1	0			0	1	0	0	1	0	0	1	0	0	0	1	1	1	0	0	1	0	1	0	0	1	0	1
f	0	1		1	0		1	0	1		1		0	1	0		0	0	1	0	1	1	0	0	0	1	0	0
v	0	1		1	0		0	0	1		1		0	1	0		1	0	1	0	1	1	0	0	0	1	0	1
θ	0	1		0	0	0	1	0	1	1	1	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0
ð	0	1		0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	1
s	0	1		0	0	1	1	0	1	1	1	0	0	0	0	1	0	1	1	0	1	1	0	0	0	1	0	0
z	0	1		0	0	1	0	0	1	1	1	0	0	0	0	1	1	1	1	0	1	1	0	0	0	1	0	1
ʃ	1	1			0		1	0	1	0	1	1	0	0	0	1	0	1	0	0	1	1	1	0	0	1	0	0
ʒ	1	1			0		0	0	1	0	1	1	0	0	0	1	1	1	0	0	1	1	1	0	0	1	0	1
m	0			1	1			0	1		0		0	1	1		1	0	1	0	1	0	0	0	1	0	0	1
n	0			0	1			0	1	1	0	0	0	0	1	0	1	1	1	0	1	0	0	0	1	0	0	1
h							1	0	0		1		0	0	0		0	0	0	0	0	1	0	1	0	0	0	0
l								1	1	1	1	0	0	0	1	0	1	1	1	0	1	1	0	0	0	0	1	1
ɹ	0		0	1				1	0	0	1	1	0	0	1	0	1	1	0	0	1	1	0	0	0	0	1	1
j	0			0			1	1	0		1		1	0	1		1	0	0	0	0		1	0			0	
w	0		1	1			1	1	0		1		1	1	1		1	0	0	1	0		1	0			0	
